Minute,Fraction
450854,0.7263390000000001
456853,0.8369030000000001
456854,0.8369030000000001
456855,0.8369030000000001
456856,0.8369030000000001
456857,0.8369030000000001
456858,0.8369030000000001
456859,0.8369030000000001
458410,0.597395
458411,0.597395
458412,0.597395
458413,0.597395
458414,0.597395
458415,0.597395
458416,0.597395
463197,0.745876
463198,0.745876
463199,0.745876
463200,0.745876
463201,0.745876
463202,0.745876
463203,0.745876
463204,0.745876
463205,0.745876
464548,0.718234
464549,0.718234
464550,0.718234
464551,0.718234
464552,0.718234
467651,0.588133
467652,0.588133
467653,0.588133
467654,0.588133
467700,0.815919
467701,0.815919
467702,0.815919
467703,0.815919
467704,0.815919
467705,0.815919
467706,0.815919
467707,0.815919
467708,0.815919
467709,0.815919
467828,0.44211300000000003
467829,0.44211300000000003
467830,0.44211300000000003
467831,0.44211300000000003
467832,0.44211300000000003
468408,0.668307
468409,0.668307
468410,0.668307
468411,0.668307
468412,0.668307
468413,0.668307
468414,0.668307
468415,0.668307
473103,0.567438
473104,0.567438
473105,0.567438
473106,0.567438
473107,0.567438
473108,0.567438
473109,0.567438
473110,0.567438
484571,0.607959
484572,0.607959
484573,0.607959
484574,0.607959
484575,0.607959
484576,0.607959
484577,0.607959
487968,0.366425
487969,0.366425
487970,0.366425
487971,0.366425
487972,0.366425
493841,0.83314
493842,0.83314
493843,0.83314
493844,0.83314
493845,0.83314
499581,0.486975
499582,0.486975
499583,0.486975
499584,0.486975
500953,0.73835
500954,0.73835
500955,0.73835
500956,0.73835
500957,0.73835
510395,0.722576
510396,0.722576
510397,0.722576
510398,0.722576
510399,0.722576
510400,0.722576
510401,0.722576
510402,0.722576
510403,0.722576
510404,0.722576
520475,0.722576
520476,0.722576
520477,0.722576
520478,0.722576
520479,0.722576
520480,0.722576
520481,0.722576
520482,0.722576
520483,0.722576
520484,0.722576
532372,0.722576
532373,0.722576
532374,0.722576
532375,0.722576
532376,0.722576
532377,0.722576
532378,0.722576
532379,0.722576
532380,0.722576
532381,0.722576
542991,0.663676
542992,0.663676
542993,0.663676
542994,0.663676
547361,0.356295
547362,0.356295
547363,0.356295
547364,0.356295
547365,0.356295
547366,0.356295
547367,0.356295
547368,0.356295
547369,0.356295
548738,0.815051
548739,0.815051
548740,0.815051
548741,0.815051
548742,0.815051
548743,0.815051
553229,0.595514
553230,0.595514
553231,0.595514
553232,0.595514
556651,0.659479
556652,0.659479
556653,0.659479
556654,0.659479
558420,0.444428
558421,0.444428
558422,0.444428
558423,0.444428
558424,0.444428
558425,0.444428
558618,0.612301
558619,0.612301
558620,0.612301
558621,0.612301
558622,0.612301
558623,0.612301
558624,0.612301
564076,0.9078149999999999
